                                                      tipo                                  rol  pct_nulos  dif_default_pp_si_ausente                                        tratamiento
mths_since_last_delinq                             float32                           predictora    50.4530                    -1.4100  Imputar mediana + indicador *_faltante (ausenc...
mths_since_recent_inq                              float32                           predictora    12.9390                    -5.8400  Imputar mediana + indicador *_faltante (ausenc...
num_tl_120dpd_2m                                   float32                           predictora     8.7270                     0.4500                                    Imputar mediana
mo_sin_old_il_acct                                 float32                           predictora     7.8480                    -2.6200                                    Imputar mediana
emp_title                                           object                          texto libre     6.3770                     6.6400             ELIMINAR: texto libre (requeriria NLP)
emp_length_num                                     float32                predictora (derivada)     5.8360                     7.3800  Imputar mediana + indicador *_faltante (ausenc...
emp_length                                        category                           predictora     5.8360                     7.3800     Categoria 'Desconocido' (ausencia informativa)
pct_tl_nvr_dlq                                     float32                           predictora     5.0310                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
avg_cur_bal                                        float32                           predictora     5.0210                    -4.9200  Imputar mediana + indicador *_faltante (ausenc...
mo_sin_rcnt_rev_tl_op                              float32                           predictora     5.0200                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_rev_accts                                      float32                           predictora     5.0200                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
mo_sin_old_rev_tl_op                               float32                           predictora     5.0200                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
total_rev_hi_lim                                   float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_accts_ever_120_pd                              float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
mo_sin_rcnt_tl                                     float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_actv_bc_tl                                     float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_rev_tl_bal_gt_0                                float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
tot_cur_bal                                        float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
tot_coll_amt                                       float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_tl_30dpd                                       float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_op_rev_tl                                      float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_il_tl                                          float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_tl_90g_dpd_24m                                 float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_tl_op_past_12m                                 float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_bc_tl                                          float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
tot_hi_cred_lim                                    float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
total_il_high_credit_limit                         float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
num_actv_rev_tl                                    float32                           predictora     5.0190                    -4.9300  Imputar mediana + indicador *_faltante (ausenc...
bc_util                                            float32                           predictora     4.6020                    -4.0000  Imputar mediana + indicador *_faltante (ausenc...
percent_bc_gt_75                                   float32                           predictora     4.5760                    -4.0500  Imputar mediana + indicador *_faltante (ausenc...
bc_open_to_buy                                     float32                           predictora     4.5450                    -4.0700  Imputar mediana + indicador *_faltante (ausenc...
mths_since_recent_bc                               float32                           predictora     4.4760                    -4.1600  Imputar mediana + indicador *_faltante (ausenc...
num_bc_sats                                        float32                           predictora     4.1510                    -5.3900  Imputar mediana + indicador *_faltante (ausenc...
num_sats                                           float32                           predictora     4.1510                    -5.3900  Imputar mediana + indicador *_faltante (ausenc...
acc_open_past_24mths                               float32                           predictora     3.5150                    -5.6000  Imputar mediana + indicador *_faltante (ausenc...
mort_acc                                           float32                           predictora     3.5150                    -5.6000  Imputar mediana + indicador *_faltante (ausenc...
total_bc_limit                                     float32                           predictora     3.5150                    -5.6000  Imputar mediana + indicador *_faltante (ausenc...
total_bal_ex_mort                                  float32                           predictora     3.5150                    -5.6000  Imputar mediana + indicador *_faltante (ausenc...
title                                               object                          texto libre     1.2380                     9.1600             ELIMINAR: texto libre (requeriria NLP)
last_pymnt_d                                        object               fuga (post-desembolso)     0.1720                        NaN                      ELIMINAR: fuga de informacion
revol_util                                         float32                           predictora     0.0640                        NaN                                    Imputar mediana
pub_rec_bankruptcies                               float32                           predictora     0.0520                        NaN                                    Imputar mediana
dti                                                float32                           predictora     0.0280                        NaN                                    Imputar mediana
last_credit_pull_d                                  object               fuga (post-desembolso)     0.0040                        NaN                      ELIMINAR: fuga de informacion
